id,retweet_count,favorite_count,retweeted
892420643555336193,8853,39467,False
892177421306343426,6514,33819,False
891815181378084864,4328,25461,False
891689557279858688,8964,42908,False
891327558926688256,9774,41048,False
891087950875897856,3261,20562,False
890971913173991426,2158,12041,False
890729181411237888,16716,56848,False
890609185150312448,4429,28226,False
890240255349198849,7711,32467,False
890006608113172480,7624,31166,False
889880896479866881,5156,28268,False
889665388333682689,8538,38818,False
889638837579907072,4735,27672,False
889531135344209921,2321,15359,False
889278841981685760,5637,25652,False
888917238123831296,4709,29611,False
888804989199671297,4559,26080,False
888554962724278272,3732,20290,False
888078434458587136,3653,22201,False
887705289381826560,5609,30779,False
887517139158093824,12082,46959,False
887473957103951883,18781,69871,False
887343217045368832,10737,34222,False
887101392804085760,6167,31061,False
886983233522544640,8084,35859,False
886736880519319552,3443,12306,False
886680336477933568,4610,22798,False
886366144734445568,3316,21524,False
886267009285017600,4,117,False
886258384151887873,6523,28469,False
886054160059072513,108,0,False
885984800019947520,7097,33382,False
885528943205470208,6683,36689,False
885518971528720385,3899,20788,False
885311592912609280,19297,0,False
885167619883638784,4556,22367,False
884925521741709313,16439,68152,False
884876753390489601,6096,28514,False
884562892145688576,5100,24765,False
884441805382717440,5856,27478,False
884247878851493888,21298,74423,False
884162670584377345,3128,20771,False
883838122936631299,3586,22349,False
883482846933004288,10407,46860,False
883360690899218434,3825,22986,False
883117836046086144,6949,37914,False
882992080364220416,4122,24445,False
882762694511734784,5134,28903,False
882627270321602560,6342,28382,False
882268110199369728,12118,45880,False
882045870035918850,5203,29900,False
881906580714921986,3533,24773,False
881666595344535552,11099,51522,False
881633300179243008,7,129,False
881536004380872706,16570,50199,False
881268444196462592,5358,23501,False
880935762899988482,2886,17346,False
880872448815771648,3989,21734,False
880465832366813184,6546,29075,False
880221127280381952,4436,27640,False
880095782870896641,4533,28150,False
879862464715927552,3642,22667,False
879674319642796034,10,315,False
879492040517615616,3323,23822,False
879415818425184262,45849,107956,False
879376492567855104,3261,17099,False
879130579576475649,7181,0,False
879050749262655488,4941,23022,False
879008229531029506,2812,19317,False
878776093423087618,4319,19763,False
878604707211726852,7582,30931,False
878404777348136964,1349,0,False
878316110768087041,6965,0,False
878281511006478336,1349,7913,False
878057613040115712,7181,42876,False
877736472329191424,17300,71144,False
877611172832227328,83,0,False
877556246731214848,3994,23258,False
877316821321428993,5414,27907,False
877201837425926144,5880,27755,False
876838120628539392,3506,21125,False
876537666061221889,4800,23869,False
876484053909872640,2511,19163,False
876120275196170240,4903,28490,False
875747767867523072,4497,25773,False
875144289856114688,5081,22185,False
875097192612077568,6342,27997,False
875021211251597312,4922,26022,False
874680097055178752,4875,28439,False
874434818259525634,15546,0,False
874296783580663808,4308,26651,False
874057562936811520,4125,23134,False
874012996292530176,11007,35501,False
873697596434513921,12518,0,False
873580283840344065,4143,24837,False
873337748698140672,1667,0,False
873213775632977920,1667,7467,False
872967104147763200,5669,28031,False
872820683541237760,3884,15029,False
872668790621863937,31,0,False
872620804844003328,3911,21309,False
872486979161796608,9429,41606,False
872261713294495745,6649,35085,False
872122724285648897,8549,35324,False
871879754684805121,11918,39090,False
871762521631449091,3678,20787,False
871515927908634625,3628,20730,False
871166179821445120,5991,0,False
871102520638267392,5764,21461,False
871032628920680449,3999,23255,False
870804317367881728,6393,33791,False
870726314365509632,3,121,False
870656317836468226,2817,12819,False
870374049280663552,27680,85011,False
870308999962521604,4384,22453,False
870063196459192321,8840,37771,False
869988702071779329,25661,0,False
869772420881756160,10663,43710,False
869702957897576449,6728,29116,False
869596645499047938,3327,16476,False
869227993411051520,4023,21112,False
868880397819494401,12518,55098,False
868639477480148993,2240,0,False
868622495443632128,6275,28295,False
868552278524837888,2240,10539,False
867900495410671616,4439,24964,False
867774946302451713,7788,35179,False
867421006826221569,2697,16755,False
867072653475098625,135,0,False
867051520902168576,8425,33420,False
866816280283807744,32883,0,False
866720684873056260,5168,20888,False
866686824827068416,3727,20070,False
866450705531457537,32883,106827,False
866334964761202691,15546,54720,False
866094527597207552,8952,0,False
865718153858494464,6008,26640,False
865359393868664832,5384,27530,False
865006731092295680,8209,29063,False
864873206498414592,9361,33651,False
864279568663928832,3266,15195,False
864197398364647424,9616,31459,False
863907417377173506,4441,21477,False
863553081350529029,4489,15935,False
863471782782697472,2687,0,False
863432100342583297,5664,24829,False
863427515083354112,105,2363,False
863079547188785154,1195,9094,False
863062471531167744,2687,8945,False
862831371563274240,5457,20011,False
862722525377298433,3809,17779,False
862457590147678208,5388,21492,False
862096992088072192,21840,66437,False
861769973181624320,37911,0,False
861383897657036800,11528,37744,False
861288531465048066,4479,18032,False
861005113778896900,4119,17538,False
860981674716409858,2334,0,False
860924035999428608,882,0,False
860563773140209665,2334,7878,False
860524505164394496,5698,24678,False
860276583193509888,3745,19154,False
860184849394610176,6295,17474,False
860177593139703809,33421,0,False
859924526012018688,4349,20021,False
859851578198683649,3780,16105,False
859607811541651456,1704,19476,False
859196978902773760,25661,75193,False
859074603037188101,14740,35553,False
858860390427611136,8805,0,False
858843525470990336,3771,16304,False
858471635011153920,5271,22640,False
858107933456039936,3154,16524,False
857989990357356544,2812,16952,False
857746408056729600,11524,36021,False
857393404942143489,1785,6236,False
857263160327368704,4934,21041,False
857214891891077121,20,242,False
857062103051644929,183,0,False
857029823797047296,4364,19910,False
856602993587888130,11633,0,False
856543823941562368,3131,17135,False
856526610513747968,2068,12446,False
856330835276025856,731,0,False
856288084350160898,17,545,False
856282028240666624,6841,29086,False
855862651834028034,27,320,False
855860136149123072,1058,4407,False
855857698524602368,2313,12498,False
855851453814013952,19196,47844,False
855818117272018944,5943,28056,False
855459453768019968,8987,31657,False
855245323840757760,6568,0,False
855138241867124737,50,0,False
854732716440526848,6690,24188,False
854482394044301312,7608,31131,False
854365224396361728,5159,20046,False
854120357044912130,8285,33911,False
854010172552949760,3433,17169,False
853760880890318849,6403,30414,False
853639147608842240,11265,37198,False
853299958564483072,3928,16508,False
852936405516943360,2243,0,False
852912242202992640,2037,9658,False
852672615818899456,2388,15939,False
852553447878664193,3885,17492,False
852311364735569921,10961,35325,False
852226086759018497,7570,21378,False
852189679701164033,1741,12217,False
851953902622658560,10706,0,False
851861385021730816,23,0,False
851591660324737024,3819,17300,False
851464819735769094,7855,25944,False
851224888060895234,6350,22090,False
850753642995093505,10352,33348,False
850380195714523136,2915,13994,False
850333567704068097,367,3647,False
850145622816686080,4244,17519,False
850019790995546112,5459,21944,False
849776966551130114,8404,32390,False
849668094696017920,5513,0,False
849412302885593088,3487,17039,False
849336543269576704,2101,12240,False
849051919805034497,7396,32617,False
848690551926992896,4826,27104,False
848324959059550208,4037,20229,False
848213670039564288,832,8834,False
848212111729840128,3444,17618,False
847978865427394560,3652,0,False
847971574464610304,482,0,False
847962785489326080,5730,25296,False
847842811428974592,1522,5935,False
847617282490613760,468,7558,False
847606175596138505,3774,20208,False
847251039262605312,4800,22036,False
847157206088847362,6572,21588,False
847116187444137987,3583,23108,False
846874817362120707,4404,21685,False
846514051647705089,13076,48410,False
846505985330044928,3492,15304,False
846153765933735936,10226,34394,False
846139713627017216,10972,33188,False
846042936437604353,3224,17256,False
845812042753855489,9894,31737,False
845677943972139009,5365,27154,False
845459076796616705,15071,0,False
845397057150107648,2072,8241,False
845306882940190720,6039,25225,False
845098359547420673,8640,0,False
844979544864018432,2909,14738,False
844973813909606400,3617,16361,False
844704788403113984,11633,42022,False
844580511645339650,3533,17871,False
844223788422217728,2450,14753,False
843981021012017153,3285,16327,False
843856843873095681,5220,23211,False
843604394117681152,3081,18310,False
843235543001513987,6852,23315,False
842892208864923648,56625,0,False
842846295480000512,4023,16440,False
842765311967449089,1439,7321,False
842535590457499648,3937,19637,False
842163532590374912,6568,26569,False
842115215311396866,3386,15204,False
841833993020538882,17504,0,False
841680585030541313,8748,27854,False
841439858740625411,4168,13755,False
841320156043304961,6080,21402,False
841314665196081154,5312,17305,False
841077006473256960,5991,24926,False
840761248237133825,1972,0,False
840728873075638272,18285,0,False
840698636975636481,3,197,False
840696689258311684,1116,13377,False
840632337062862849,1972,9761,False
840370681858686976,5146,17918,False
840268004936019968,6497,20950,False
839990271299457024,2597,14640,False
839549326359670784,8805,29957,False
839290600511926273,158,0,False
839239871831150596,7422,29684,False
838952994649550848,4505,21289,False
838921590096166913,2357,12183,False
838916489579200512,38,0,False
838831947270979586,12643,0,False
838561493054533637,1504,11892,False
838476387338051585,5484,24664,False
838201503651401729,11525,0,False
838150277551247360,370,1824,False
838085839343206401,0,150,False
838083903487373313,3582,19183,False
837820167694528512,8952,37277,False
837482249356513284,495,4204,False
837471256429613056,2631,13967,False
837366284874571778,6005,23074,False
837110210464448512,2731,17480,False
837012587749474308,88,0,False
836989968035819520,2610,13879,False
836753516572119041,5237,21029,False
836677758902222849,2522,13782,False
836648853927522308,626,0,False
836397794269200385,31314,0,False
836380477523124226,3337,16037,False
836260088725786625,4850,23177,False
836001077879255040,4935,20924,False
835685285446955009,9327,0,False
835574547218894849,4121,19447,False
835536468978302976,1939,0,False
835309094223372289,24013,0,False
835297930240217089,3381,17847,False
835264098648616962,1939,8503,False
835246439529840640,83,2259,False
835172783151792128,6516,28552,False
835152434251116546,3443,24574,False
834931633769889797,1878,11838,False
834786237630337024,6159,22943,False
834574053763584002,2882,14993,False
834477809192075265,12224,0,False
834458053273591808,1899,10512,False
834209720923721728,5476,22594,False
834167344700198914,4130,17194,False
834089966724603904,2427,10971,False
834086379323871233,2512,14296,False
833863086058651648,2729,14661,False
833826103416520705,3904,16728,False
833732339549220864,251,0,False
833722901757046785,3636,22585,False
833479644947025920,2357,16258,False
833124694597443584,5513,22133,False
832998151111966721,2522,14549,False
832769181346996225,43,0,False
832757312314028032,4127,18423,False
832682457690300417,3368,13017,False
832645525019123713,594,3195,False
832636094638288896,3220,17379,False
832397543355072512,2548,13126,False
832369877331693569,3652,18792,False
832273440279240704,2673,12385,False
832215909146226688,7069,0,False
832215726631055365,10723,0,False
832088576586297345,3,72,False
832040443403784192,11131,0,False
832032802820481025,4746,13887,False
831939777352105988,7031,26404,False
831926988323639298,39,369,False
831911600680497154,7458,30380,False
831670449226514432,2059,11469,False
831650051525054464,2243,7908,False
831552930092285952,2632,9872,False
831322785565769729,1744,10042,False
831315979191906304,1264,7117,False
831309418084069378,2786,12819,False
831262627380748289,2350,13066,False
830956169170665475,1735,8735,False
830583320585068544,19297,73397,False
830173239259324417,6554,0,False
830097400375152640,3455,10804,False
829878982036299777,5757,0,False
829861396166877184,2243,13441,False
829501995190984704,12224,34913,False
829449946868879360,2329,11519,False
829374341691346946,10706,38074,False
829141528400556032,8530,26952,False
829011960981237760,18627,58302,False
828801551087042563,3901,0,False
828770345708580865,6746,28085,False
828708714936930305,12882,40241,False
828650029636317184,1544,10467,False
828409743546925057,1305,6898,False
828408677031882754,1477,8398,False
828381636999917570,2554,13864,False
828376505180889089,1216,8112,False
828372645993398273,3344,13756,False
828361771580813312,195,2408,False
828046555563323392,3260,12923,False
828011680017821696,2451,11411,False
827933404142436356,5987,22180,False
827653905312006145,3433,16983,False
827600520311402496,1082,8143,False
827324948884643840,3510,17523,False
827228250799742977,13517,0,False
827199976799354881,2579,11659,False
826958653328592898,5757,23767,False
826848821049180160,11878,40325,False
826615380357632002,4521,0,False
826598799820865537,292,5637,False
826598365270007810,2709,11117,False
826476773533745153,4821,20275,False
826240494070030336,2965,14614,False
826204788643753985,1075,5361,False
826115272272650244,3599,17299,False
825876512159186944,2146,11525,False
825829644528148480,2848,14025,False
825535076884762624,19669,56413,False
825147591692263424,5244,20181,False
825120256414846976,1483,0,False
825026590719483904,1483,7020,False
824796380199809024,6288,0,False
824775126675836928,4069,16508,False
824663926340194305,1993,11113,False
824325613288833024,11848,12999,False
824297048279236611,4463,16625,False
824025158776213504,679,5255,False
823939628516474880,3123,11755,False
823719002937630720,12953,0,False
823699002998870016,2772,13826,False
823581115634085888,3031,14376,False
823333489516937216,31,777,False
823322678127919110,4637,17437,False
823269594223824897,11421,0,False
822975315408461824,3958,19139,False
822872901745569793,48265,132810,False
822859134160621569,2622,14576,False
822647212903690241,7390,0,False
822610361945911296,3423,16327,False
822489057087389700,7390,20083,False
822462944365645825,17209,31800,False
822244816520155136,11421,38832,False
822163064745328640,5571,0,False
821886076407029760,2692,12582,False
821813639212650496,3839,0,False
821765923262631936,1899,9317,False
821522889702862852,2030,8871,False
821421320206483457,6470,0,False
821407182352777218,5053,13075,False
821153421864615936,10,280,False
821149554670182400,2320,9718,False
821107785811234820,2487,10645,False
821044531881721856,2636,14021,False
820837357901512704,7733,0,False
820749716845686786,11525,34984,False
820690176645140481,3716,13518,False
820494788566847489,648,0,False
820446719150292993,2980,0,False
820314633777061888,648,3706,False
820078625395449857,7246,21979,False
820013781606658049,1369,0,False
819952236453363712,1369,5927,False
819924195358416896,5607,14305,False
819711362133872643,3604,14916,False
819588359383371776,2271,10606,False
819347104292290561,1383,8008,False
819238181065359361,462,2550,False
819227688460238848,7733,25652,False
819015337530290176,42228,0,False
819015331746349057,21794,0,False
819006400881917954,21794,49960,False
819004803107983360,42228,95450,False
818646164899774465,24069,0,False
818627210458333184,8564,24597,False
818614493328580609,2982,10971,False
818588835076603904,7126,0,False
818536468981415936,2873,12127,False
818307523543449600,9366,0,False
818259473185828864,2621,12197,False
818145370475810820,3014,13671,False
817908911860748288,906,5356,False
817827839487737858,31314,57622,False
817777686764523521,3084,11901,False
817536400337801217,3505,13105,False
817502432452313088,3917,0,False
817423860136083457,17504,38260,False
817415592588222464,1131,6267,False
817181837579653120,9907,0,False
817171292965273600,2326,9690,False
817120970343411712,3011,13367,False
817056546584727552,1927,9517,False
816829038950027264,5496,0,False
816816676327063552,2361,11071,False
816697700272001025,2545,10905,False
816450570814898180,9366,33961,False
816336735214911488,2269,9564,False
816091915477250048,2500,9927,False
816062466425819140,1207,0,False
816014286006976512,6154,0,False
815990720817401858,1207,5545,False
815966073409433600,9907,25057,False
815745968457060357,4797,0,False
815736392542261248,2625,10937,False
815639385530101762,1918,9161,False
815390420867969024,4407,11467,False
814986499976527872,1505,8485,False
814638523311648768,3130,12511,False
814578408554463233,6750,0,False
814530161257443328,2156,9629,False
814153002265309185,10080,32000,False
813944609378369540,3732,0,False
813910438903693312,2194,10342,False
813812741911748608,16267,40402,False
813800681631023104,2060,9300,False
813217897535406080,8476,20783,False
813202720496779264,2090,10192,False
813187593374461952,5096,22085,False
813172488309972993,2236,10384,False
813157409116065792,2557,8588,False
813142292504645637,2728,9361,False
813130366689148928,513,4968,False
813127251579564032,3652,13242,False
813112105746448384,3225,11515,False
813096984823349248,4207,11694,False
813081950185472002,3220,10989,False
813066809284972545,2276,8865,False
813051746834595840,8503,23337,False
812781120811126785,2191,8380,False
812747805718642688,8067,0,False
812709060537683968,1665,7373,False
812503143955202048,1424,6787,False
812466873996607488,2231,8900,False
812372279581671427,4252,15224,False
811985624773361665,1647,8102,False
811744202451197953,1884,8429,False
811647686436880384,872,6215,False
811627233043480576,3650,14265,False
811386762094317568,7444,23302,False
810984652412424192,1655,5927,False
810896069567610880,2090,10093,False
810657578271330305,3057,12192,False
810284430598270976,13369,39640,False
810254108431155201,3901,16380,False
809920764300447744,4521,17250,False
809808892968534016,5711,0,False
809448704142938112,1696,7727,False
809220051211603969,6554,22246,False
809084759137812480,4046,14685,False
808838249661788160,3536,11271,False
808733504066486276,2509,8784,False
808501579447930884,3007,12595,False
808344865868283904,24069,47281,False
808134635716833280,6961,0,False
808106460588765185,2525,9701,False
808001312164028416,4098,14015,False
807621403335917568,4288,16236,False
807106840509214720,56625,107015,False
807059379405148160,8521,0,False
807010152071229440,4418,14514,False
806629075125202948,37911,75639,False
806620845233815552,6426,0,False
806576416489959424,2230,5370,False
806542213899489280,2752,11363,False
806242860592926720,13616,0,False
806219024703037440,1388,7145,False
805958939288408065,6238,0,False
805932879469572096,2209,9178,False
805826884734976000,2132,7335,False
805823200554876929,9374,0,False
805520635690676224,1905,6368,False
805487436403003392,2929,9773,False
805207613751304193,1972,8680,False
804738756058218496,4480,15326,False
804475857670639616,2355,6886,False
804413760345620481,3712,0,False
804026241225523202,18876,49774,False
803773340896923648,3220,11203,False
803692223237865472,8689,0,False
803638050916102144,4828,12270,False
803380650405482500,2169,8601,False
803321560782307329,6221,0,False
803276597545603072,2887,11207,False
802952499103731712,2336,10085,False
802624713319034886,3403,0,False
802600418706604034,1714,7938,False
802572683846291456,2926,9959,False
802323869084381190,6808,18124,False
802265048156610565,1573,7039,False
802247111496568832,5247,0,False
802239329049477120,3040,10132,False
802185808107208704,314,0,False
801958328846974976,1992,8608,False
801854953262350336,275,1958,False
801538201127157760,2391,9141,False
801285448605831168,960,6802,False
801167903437357056,6961,27386,False
801127390143516673,4627,0,False
801115127852503040,2429,8992,False
800859414831898624,113,778,False
800855607700029440,1889,0,False
800751577355128832,3214,11701,False
800513324630806528,3495,14685,False
800459316964663297,2489,10538,False
800443802682937345,5068,0,False
800388270626521089,3265,12456,False
800188575492947969,4581,0,False
800141422401830912,2980,17092,False
800018252395122689,15351,31768,False
799774291445383169,5488,0,False
799757965289017345,2506,9390,False
799422933579902976,2213,8965,False
799308762079035393,6478,0,False
799297110730567681,3227,11065,False
799063482566066176,2863,9058,False
798933969379225600,5203,14712,False
798925684722855936,1663,8246,False
798705661114773508,7724,0,False
798701998996647937,9126,0,False
798697898615730177,7602,0,False
798694562394996736,5812,0,False
798686750113755136,2702,0,False
798682547630837760,5515,0,False
798673117451325440,6485,0,False
798665375516884993,4519,0,False
798644042770751489,2153,0,False
798628517273620480,2272,0,False
798585098161549313,6618,0,False
798576900688019456,6871,0,False
798340744599797760,3924,0,False
798209839306514432,2954,11548,False
797971864723324932,3652,13018,False
797545162159308800,5656,16198,False
797236660651966464,7726,22328,False
797165961484890113,32,256,False
796904159865868288,10411,0,False
796865951799083009,2198,8564,False
796759840936919040,3562,13256,False
796563435802726400,8536,0,False
796484825502875648,2042,8472,False
796387464403357696,4861,12334,False
